Frequency (Hz),Amplitude (dBμV)
74620000.0,106.0331266
75105000.0,106.2418363
75590000.0,106.590904
76075000.0,93.902641
76560000.0,103.228317
77045000.0,106.2808835
77530000.0,106.3828351
78015000.0,96.34532899999999
78500000.0,100.9919583
78985000.0,109.1349103
79470000.0,105.8098142
79955000.0,105.31919070000001
80440000.0,108.2463529
80925000.0,106.0091703
81410000.0,107.0724485
81895000.0,104.9331357
82380000.0,97.7872541
82865000.0,84.15072599999999
83350000.0,101.7065274
83835000.0,103.6283795
84320000.0,95.0675656
84805000.0,109.7561872
85290000.0,106.6883542
85775000.0,101.80883
86260000.0,100.272659
86745000.0,104.8443448
87230000.0,102.7433927
87715000.0,103.6826017
88200000.0,93.2744672
88685000.0,110.0489041
89170000.0,101.999809
89655000.0,106.2331845
90140000.0,97.3731992
90625000.0,102.7677152
91110000.0,105.3570096
91595000.0,104.7375257
92080000.0,105.0002057
92565000.0,102.7723996
93050000.0,101.1206433
93535000.0,95.6254499
94020000.0,100.72478459999999
94505000.0,110.1413495
94990000.0,102.1351926
95475000.0,102.4002225
95960000.0,102.1913602
96445000.0,112.6720502
96930000.0,107.9069821
97415000.0,99.0117795
97900000.0,92.7502668
98385000.0,86.7179715
98870000.0,96.2050931
99355000.0,101.1091992
99840000.0,101.0393216
100325000.0,106.8500821
100810000.0,103.9268262
101295000.0,95.6122434
101780000.0,110.9912183
102265000.0,103.1558301
102750000.0,89.3103253
103235000.0,106.3880231
103720000.0,98.973541
104205000.0,99.86956
104690000.0,108.260719
105175000.0,108.00566069999999
105660000.0,109.9051053
106145000.0,108.6536939
106630000.0,96.1840894
107115000.0,78.0068814
107600000.0,98.97262549999999
108085000.0,105.9526899
108570000.0,99.6387632
109055000.0,110.4303434
109540000.0,101.5949399
110025000.0,98.4500806
110510000.0,99.6946866
110995000.0,107.3496778
111480000.0,97.3480756
111965000.0,100.679054
112450000.0,104.8023908
112935000.0,90.195091
113420000.0,101.0133741
113905000.0,105.0242688
114390000.0,108.1767423
114875000.0,107.4695508
115360000.0,96.6060712
115845000.0,99.6912
116330000.0,93.9286191
116815000.0,110.6238477
117300000.0,106.2150342
117785000.0,105.2177655
118270000.0,83.8198697
118755000.0,102.6646344
119240000.0,110.8288648
119725000.0,105.3260724
120210000.0,105.6453855
